name,cloneof,description,year,manufacturer
silentd,,Silent Dragon (World),1992,Taito Corporation Japan
silentdj,silentd,Silent Dragon (Japan),1992,Taito Corporation
ryujin,,Ryu Jin (Japan),1993,Taito Corporation
qzshowby,,Quiz Sekai wa SHOW by shobai (Japan),1993,Taito Corporation
pbobble,,"Puzzle Bobble (Japan, B-System)",1994,Taito Corporation
spacedx,,Space Invaders DX (US) v2.1,1994,Taito Corporation
spacedxj,spacedx,Space Invaders DX (Japan) v2.1,1994,Taito Corporation
spacedxo,spacedx,Space Invaders DX (Japan) v2.0,1994,Taito Corporation
contcirc,,Continental Circus (World),1989,Taito Corporation Japan
contcrcu,contcirc,Continental Circus (US),1987,Taito America Corporation
chasehq,,Chase H.Q. (World),1988,Taito Corporation Japan
chasehqj,chasehq,Chase H.Q. (Japan),1988,Taito Corporation
enforce,,Enforce (Japan),1988,Taito Corporation
nightstr,,Night Striker (US),1989,Taito America Corporation
sci,,Special Criminal Investigation (World set 1),1989,Taito Corporation Japan
scia,sci,Special Criminal Investigation (World set 2),1989,Taito Corporation Japan
sciu,sci,Special Criminal Investigation (US),1989,Taito America Corporation
bshark,,Battle Shark (US),1989,Taito America Corporation
bsharkj,bshark,Battle Shark (Japan),1989,Taito Corporation
bsharkjjs,bshark,"Battle Shark (Japan, Joystick)",1989,Taito Corporation
aquajack,,Aqua Jack (World),1990,Taito Corporation Japan
aquajckj,aquajack,Aqua Jack (Japan),1990,Taito Corporation
spacegun,,Space Gun (World),1990,Taito Corporation Japan
dblaxle,,Double Axle (US),1991,Taito America Corporation
pwheelsj,dblaxle,Power Wheels (Japan),1991,Taito Corporation
racingb,,Racing Beat (World),1991,Taito Corporation Japan
topland,,Top Landing (World),1988,Taito Corporation Japan
ainferno,,Air Inferno (US),1990,Taito America Corporation
gunbustr,,Gunbuster (Japan),1992,Taito Corporation
superchs,,Super Chase - Criminal Termination (US),1992,Taito America Corporation
groundfx,,Ground Effects - Super Ground Effects (Japan),1992,Taito Corporation
undrfire,,Under Fire (World),1993,Taito Corporation Japan
undrfiru,undrfire,Under Fire (US),1993,Taito America Corporation
undrfirj,undrfire,Under Fire (Japan),1993,Taito Corporation
cbombers,,Chase Bombers (World),1994,Taito Corporation Japan
finalb,,Final Blow (World),1988,Taito Corporation Japan
finalbj,finalb,Final Blow (Japan),1988,Taito Corporation
dondokod,,Don Doko Don (World),1989,Taito Corporation Japan
dondokdu,dondokod,Don Doko Don (US),1989,Taito America Corporation
dondokdj,dondokod,Don Doko Don (Japan),1989,Taito Corporation
megab,,Mega Blast (World),1989,Taito Corporation Japan
megabj,megab,Mega Blast (Japan),1989,Taito Corporation
thundfox,,Thunder Fox (World),1990,Taito Corporation Japan
thndfoxu,thundfox,Thunder Fox (US),1990,Taito America Corporation
thndfoxj,thundfox,Thunder Fox (Japan),1990,Taito Corporation
cameltry,,Cameltry (US),1989,Taito America Corporation
camltrua,cameltry,"Cameltry (US, alt sound)",1989,Taito America Corporation
cameltrj,cameltry,Cameltry (Japan),1989,Taito Corporation
qtorimon,,Quiz Torimonochou (Japan),1990,Taito Corporation
liquidk,,Liquid Kids (World),1990,Taito Corporation Japan
liquidku,liquidk,Liquid Kids (US),1990,Taito America Corporation
mizubaku,liquidk,Mizubaku Daibouken (Japan),1990,Taito Corporation
quizhq,,Quiz H.Q. (Japan),1990,Taito Corporation
ssi,,Super Space Invaders '91 (World),1990,Taito Corporation Japan
majest12,ssi,Majestic Twelve - The Space Invaders Part IV (Japan),1990,Taito Corporation
gunfront,,Gun and Frontier (World),1990,Taito Corporation Japan
gunfronj,gunfront,Gun Frontier (Japan),1990,Taito Corporation
growl,,Growl (World),1990,Taito Corporation Japan
growlu,growl,Growl (US),1990,Taito America Corporation
runark,growl,Runark (Japan),1990,Taito Corporation
mjnquest,,Mahjong Quest (Japan),1990,Taito Corporation
mjnquesb,mjnquest,Mahjong Quest (No Nudity),1990,Taito Corporation
footchmp,,Football Champ (World),1990,Taito Corporation Japan
hthero,footchmp,Hat Trick Hero (Japan),1990,Taito Corporation
euroch92,footchmp,Euro Champ '92 (World),1992,Taito Corporation Japan
koshien,,Ah Eikou no Koshien (Japan),1990,Taito Corporation
yuyugogo,,Yuuyu no Quiz de GO!GO! (Japan),1990,Taito Corporation
ninjak,,The Ninja Kids (World),1990,Taito Corporation Japan
ninjakj,ninjak,The Ninja Kids (Japan),1990,Taito Corporation
solfigtr,,Solitary Fighter (World),1991,Taito Corporation Japan
qzquest,,Quiz Quest - Hime to Yuusha no Monogatari (Japan),1991,Taito Corporation
pulirula,,PuLiRuLa (World),1991,Taito Corporation Japan
pulirulj,pulirula,PuLiRuLa (Japan),1991,Taito Corporation
metalb,,Metal Black (World),1991,Taito Corporation Japan
metalbj,metalb,Metal Black (Japan),1991,Taito Corporation
qzchikyu,,Quiz Chikyu Bouei Gun (Japan),1991,Taito Corporation
yesnoj,,Yes-No Sinri Tokimeki Chart,1992,Taito Corporation
deadconx,,Dead Connection (World),1992,Taito Corporation Japan
deadconj,deadconx,Dead Connection (Japan),1992,Taito Corporation
dinorex,,Dino Rex (World),1992,Taito Corporation Japan
dinorexj,dinorex,Dino Rex (Japan),1992,Taito Corporation
dinorexu,dinorex,Dino Rex (US),1992,Taito America Corporation
qjinsei,,Quiz Jinsei Gekijoh (Japan),1992,Taito Corporation
qcrayon,,Quiz Crayon Shinchan (Japan),1993,Taito Corporation
qcrayon2,,Crayon Shinchan Orato Asobo (Japan),1993,Taito Corporation
driftout,,Drift Out (Japan),1991,Visco
driveout,driftout,Drive Out,1991,bootleg
ringrage,,Ring Rage (World),1992,Taito Corporation Japan
ringragj,ringrage,Ring Rage (Japan),1992,Taito Corporation
ringragu,ringrage,Ring Rage (US),1992,Taito America Corporation
arabianm,,Arabian Magic (World),1992,Taito Corporation Japan
arabiamj,arabianm,Arabian Magic (Japan),1992,Taito Corporation
arabiamu,arabianm,Arabian Magic (US),1992,Taito America Corporation
ridingf,,Riding Fight (World),1992,Taito Corporation Japan
ridefgtj,ridingf,Riding Fight (Japan),1992,Taito Corporation
ridefgtu,ridingf,Riding Fight (US),1992,Taito America Corporation
gseeker,,Grid Seeker - Project Stormhammer (World),1992,Taito Corporation Japan
gseekerj,gseeker,Grid Seeker - Project Stormhammer (Japan),1992,Taito Corporation
gseekeru,gseeker,Grid Seeker - Project Stormhammer (US),1992,Taito America Corporation
hthero93,scfinals,Hat Trick Hero '93 (Japan),1992,Taito Corporation
cupfinal,scfinals,Taito Cup Finals (World),1993,Taito Corporation Japan
trstar,,Top Ranking Stars (World new version),1993,Taito Corporation Japan
trstarj,trstar,Top Ranking Stars (Japan new version),1993,Taito Corporation
prmtmfgt,trstar,Prime Time Fighter (US new version),1993,Taito America Corporation
trstaro,trstar,Top Ranking Stars (World old version),1993,Taito Corporation Japan
trstaroj,trstar,Top Ranking Stars (Japan old version),1993,Taito Corporation
prmtmfgo,trstar,Prime Time Fighter (US old version),1993,Taito America Corporation
gunlock,,Gunlock (World),1993,Taito Corporation Japan
rayforcj,gunlock,Rayforce (Japan),1993,Taito Corporation
rayforce,gunlock,Rayforce (US),1993,Taito America Corporation
scfinals,,Super Cup Finals (World),1993,Taito Corporation Japan
intcup94,scfinals,International Cup '94,1994,Taito Corporation Japan
dungeonm,,Dungeon Magic (World),1993,Taito Corporation Japan
lightbr,dungeonm,Light Bringer (Japan),1993,Taito Corporation
dungenmu,dungeonm,Dungeon Magic (US),1993,Taito America Corporation
kaiserkn,,Kaiser Knuckle (World),1994,Taito Corporation Japan
kaiserkj,kaiserkn,Kaiser Knuckle (Japan),1994,Taito Corporation
gblchmp,kaiserkn,Global Champion (US),1994,Taito America Corporation
dankuga,kaiserkn,Dan-Ku-Ga (Prototype),1994,Taito Corporation
dariusg,,Darius Gaiden - Silver Hawk (World),1994,Taito Corporation Japan
dariusgj,dariusg,Darius Gaiden - Silver Hawk (Japan),1994,Taito Corporation
dariusgu,dariusg,Darius Gaiden - Silver Hawk (US),1994,Taito America Corporation
dariusgx,dariusg,Darius Gaiden - Silver Hawk (Extra Version) [Official Hack],1994,Taito Corporation
bublbob2,,Bubble Bobble 2 (World),1994,Taito Corporation Japan
bubsympe,bublbob2,Bubble Symphony (Europe),1994,Taito Corporation Japan
bubsympu,bublbob2,Bubble Symphony (US),1994,Taito America Corporation
bubsymph,bublbob2,Bubble Symphony (Japan),1994,Taito Corporation
spcinvdj,spacedx,Space Invaders DX (Japan F3 version),1994,Taito Corporation
pwrgoal,,Taito Power Goal (World),1994,Taito Corporation Japan
hthero95,pwrgoal,Hat Trick Hero '95 (Japan),1994,Taito Corporation
hthro95u,pwrgoal,Hat Trick Hero '95 (US),1994,Taito America Corporation
qtheater,,Quiz Theater - 3tsu no Monogatari (Japan),1994,Taito Corporation
elvactr,,Elevator Action Returns (World),1994,Taito Corporation Japan
elvactrj,elvactr,Elevator Action Returns (Japan),1994,Taito Corporation
elvact2u,elvactr,Elevator Action 2 (US),1994,Taito America Corporation
spcinv95,,Space Invaders '95 - Attack Of The Lunar Loonies (World),1995,Taito Corporation Japan
spcnv95u,spcinv95,Space Invaders '95 - Attack Of The Lunar Loonies (US),1995,Taito America Corporation
akkanvdr,spcinv95,Akkanvader (Japan),1995,Taito Corporation
twinqix,,Twin Qix (US Prototype),1995,Taito America Corporation
quizhuhu,,Moriguchi Hiroko no Quiz de Hyuu!Hyuu! (Japan),1995,Taito Corporation
pbobble2,,Puzzle Bobble 2 (World),1995,Taito Corporation Japan
pbobbl2j,pbobble2,Puzzle Bobble 2 (Japan),1995,Taito Corporation
pbobbl2u,pbobble2,Bust-A-Move Again (US),1995,Taito America Corporation
pbobbl2x,pbobble2,Puzzle Bobble 2X (Japan),1995,Taito Corporation
gekirido,,Gekirindan (Japan),1995,Taito Corporation
ktiger2,,Kyukyoku Tiger 2 (Japan),1995,Taito Corporation
bubblem,,Bubble Memories - The Story Of Bubble Bobble 3 (World),1995,Taito Corporation Japan
bubblemj,bubblem,Bubble Memories - The Story Of Bubble Bobble 3 (Japan),1995,Taito Corporation
cleopatr,,Cleopatra Fortune (Japan),1996,Taito Corporation
pbobble3,,Puzzle Bobble 3 (World),1996,Taito Corporation
pbobbl3u,pbobble3,Puzzle Bobble 3 (US),1996,Taito Corporation
pbobbl3j,pbobble3,Puzzle Bobble 3 (Japan),1996,Taito Corporation
arkretrn,,Arkanoid Returns (Japan),1997,Taito Corporation
kirameki,,Kirameki Star Road (Japan),1997,Taito Corporation
puchicar,,Puchi Carat (Japan),1997,Taito Corporation
pbobble4,,Puzzle Bobble 4 (World),1997,Taito Corporation
pbobbl4j,pbobble4,Puzzle Bobble 4 (Japan),1997,Taito Corporation
pbobbl4u,pbobble4,Puzzle Bobble 4 (US),1997,Taito Corporation
popnpop,,Pop 'N Pop (World),1997,Taito Corporation
popnpopj,popnpop,Pop 'N Pop (Japan),1997,Taito Corporation
popnpopu,popnpop,Pop 'N Pop (US),1997,Taito Corporation
landmakr,,Land Maker (Japan),1998,Taito Corporation
landmkrp,landmakr,Land Maker (World Prototype),1998,Taito Corporation
recalh,,Recalhorn (Prototype),1994,Taito Corporation
commandw,,Command War - Super Special Battle &amp; War Game (Prototype),1992,Taito Corporation
bublbob2p,bublbob2,Bubble Bobble 2 (prototype),1994,Taito Corporation Japan
perfrman,,Performan (Japan),1985,[Toaplan] Data East Corporation
perfrmau,perfrman,Performan (US),1985,[Toaplan] Data East USA
tigerh,,Tiger Heli (US),1985,Taito America Corp.
tigerh2,tigerh,Tiger Heli (Japan set 1),1985,Taito Corp.
tigerhj,tigerh,Tiger Heli (Japan set 2),1985,Taito Corp.
tigerhb1,tigerh,Tiger Heli (bootleg set 1),1985,bootleg
tigerhb2,tigerh,Tiger Heli (bootleg set 2),1985,bootleg
slapfigh,,Slap Fight,1986,Taito
slapbtjp,slapfigh,Slap Fight (Japan bootleg),1986,bootleg
slapbtuk,slapfigh,Slap Fight (English bootleg),1986,bootleg
alcon,slapfigh,Alcon,1986,Taito America Corp
getstar,,Guardian (US),1986,Taito America Corp
getstarj,getstar,Get Star (Japan),1986,Taito
getstarb,getstar,Get Star (bootleg),1986,bootleg
mjsister,,Mahjong Sisters (Japan),1986,Toaplan
fshark,,Flying Shark (World),1987,[Toaplan] Taito Corporation
skyshark,fshark,Sky Shark (US),1987,[Toaplan] Taito America Corporation (Romstar license)
hishouza,fshark,Hishou Zame (Japan),1987,[Toaplan] Taito Corporation
fsharkbt,fshark,Flying Shark (bootleg),1987,bootleg
wardner,,Wardner (World),1987,[Toaplan] Taito Corporation Japan
pyros,wardner,Pyros (US),1987,[Toaplan] Taito America Corporation
wardnerj,wardner,Wardner no Mori (Japan),1987,[Toaplan] Taito Corporation
twincobr,,Twin Cobra (World),1987,[Toaplan] Taito Corporation
twincobu,twincobr,Twin Cobra (US),1987,[Toaplan] Taito America Corporation (Romstar license)
ktiger,twincobr,Kyukyoku Tiger (Japan),1987,[Toaplan] Taito Corporation
ktiger2p,twincobr,"Kyukyoku Tiger (Japan, 2 Players)",2021,M2 Co Ltd
gulfwar2,,Gulf War II,1991,Comad
rallybik,,Rally Bike - Dash Yarou,1988,[Toaplan] Taito Corporation
truxton,,Truxton - Tatsujin,1988,[Toaplan] Taito Corporation
hellfire,,Hellfire,1989,Toaplan (Taito license)
hellfir1,hellfire,Hellfire (1P Ver.),1989,Toaplan (Taito license)
zerowing,,Zero Wing,1989,Toaplan
demonwld,,Demon's World - Horror Story,1990,Toaplan
demonwl1,demonwld,Demon's World - Horror Story (Taito license),1989,Toaplan (Taito license)
fireshrk,,Fire Shark,1990,Toaplan
samesame,fireshrk,Same! Same! Same!,1989,Toaplan
samesam2,fireshrk,Same! Same! Same! (2P Ver.),1989,Toaplan
outzone,,Out Zone (set 1),1990,Toaplan
outzonea,outzone,Out Zone (set 2),1990,Toaplan
vimana,,Vimana,1991,Toaplan
vimana1,vimana,Vimana (old set),1991,Toaplan
vimanan,vimana,Vimana (Nova Apparate GMBH and Co),1991,Toaplan (Nova Apparate GMBH and Co license)
snowbros,,Snow Bros. - Nick &amp; Tom (set 1),1990,Toaplan
snowbroa,snowbros,Snow Bros. - Nick &amp; Tom (set 2),1990,Toaplan
snowbrob,snowbros,Snow Bros. - Nick &amp; Tom (set 3),1990,Toaplan
snowbroj,snowbros,Snow Bros. - Nick &amp; Tom (Japan),1990,Toaplan
wintbob,snowbros,The Winter Bobble,1990,bootleg
htchctch,,Hatch Catch,1995,SemiCom
hyperpac,,Hyper Pacman,1995,SemiCom
hyperpcb,hyperpac,Hyper Pacman (bootleg),1995,bootleg
chokchok,,Choky! Choky!,1995,SemiCom
cookbib,,Cookie &amp; Bibi,1995,SemiCom
cookbib2,,Cookie &amp; Bibi 2,1996,SemiCom
sdfight,,SD Fighter (Korea),1996,SemiCom
toppyrap,,Toppy &amp; Rappy,1996,SemiCom
bcstry,,B.C. Story (set 1),1997,SemiCom
bcstrya,bcstry,B.C. Story (set 2),1997,SemiCom
cookbib3,,Cookie &amp; Bibi 3,1997,SemiCom
pzlbreak,,Puzzle Break,1997,SemiCom / Tirano
twinkle,,Twinkle,1997,SemiCom / Tirano
3in1semi,,New HyperMan (3-in-1 with Cookie &amp; Bibi &amp; HyperMan),1998,SemiCom / XESS
moremore,,More More,1999,SemiCom / Exit
moremorp,,More More Plus,1999,SemiCom / Exit
finalttr,,Final Tetris,1993,Jeil
toto,,Come Back Toto,1996,SoftClub
4in1boot,,Puzzle King (PacMan 2 with Tetris &amp; HyperMan 2 &amp; Snow Bros,1999,K1 Soft
snowbro3,,Snow Brothers 3 - Magical Adventure,2002,Syrmex
tekipaki,,Teki Paki,1991,Toaplan
ghox,,Ghox (spinner),1991,Toaplan
ghoxj,ghox,Ghox (joystick),1991,Toaplan
dogyuun,,Dogyuun,1992,Toaplan
kbash,,Knuckle Bash,1993,Toaplan
kbash2,,Knuckle Bash 2,1999,Toaplan
truxton2,,Truxton II - Tatsujin II - Tatsujin Oh (Japan),1992,Toaplan
pipibibs,,Pipi and Bibis - Whoopee!!,1991,Toaplan
whoopee,pipibibs,Whoopee!! - Pipi and Bibis,1991,Toaplan
pipibibi,pipibibs,Pipi and Bibis - Whoopee!! (bootleg [Q]),1991,[Toaplan] Ryouta Kikaku
fixeight,,FixEight,1992,Toaplan
fixeighb,fixeight,FixEight (Bootleg),1992,Toaplan
vfive,,V-Five (Japan),1993,Toaplan
grindstm,vfive,Grind Stormer,1992,Toaplan
grindsta,vfive,Grind Stormer (older set),1992,Toaplan
batsugun,,Batsugun,1993,Toaplan
batugnsp,batsugun,Batsugun (Special Ver.),1993,Toaplan
snowbro2,,Snow Bros. 2 - With New Elves - Otenki Paradise,1994,[Toaplan] Hanafram
sstriker,mahoudai,Sorcer Striker (World),1993,Raizing
mahoudai,,Mahou Daisakusen (Japan),1993,Raizing (Able license)
shippumd,,Shippu Mahou Daisakusen (Japan),1994,Raizing / Eighting
kingdmgp,shippumd,Kingdom Grandprix (World),1994,Raizing / Eighting
battleg,,Battle Garegga - Type 2 (Denmark - China) (Tue Apr 2 1996),1996,Raizing / Eighting
battlega,battleg,Battle Garegga (Europe - USA - Japan - Asia) (Sat Feb 3 1996),1996,Raizing / Eighting
battlegb,battleg,Battle Garegga (Austria - Hong Kong) (Sat Mar 2 1996),1996,Raizing / Eighting
batrider,,"Armed Police Batrider (Japan, version B)",1998,Raizing / Eighting
batridra,batrider,"Armed Police Batrider (Japan, version A)",1998,Raizing / Eighting
batridrk,batrider,"Armed Police Batrider (Korea, version B)",1998,Raizing / Eighting
bbakraid,,Battle Bakraid (Japan) (Wed Apr 7 1999),1999,Eighting
bbakradu,bbakraid,Battle Bakraid - Unlimited version (Japan) (Tue Jun 8 1999),1999,Eighting
pwrinst2,,Power Instinct 2 (USA),1994,Atlus/Cave
plegends,,Power Instinct Legends (USA),1995,Atlus/Cave
mazinger,,Mazinger Z,1994,Banpresto/Dynamic Pl. Toei Animation
donpachi,,DonPachi (US),1995,Atlus/Cave
donpachj,donpachi,DonPachi (Japan),1995,Atlus/Cave
donpachk,donpachi,DonPachi (Korea),1995,Atlus/Cave
metmqstr,,Metamoqester,1995,Banpresto/Pandorabox
nmaster,metmqstr,Oni - The Ninja Master (Japan),1995,Banpresto/Pandorabox
sailormn,,Pretty Soldier Sailor Moon (95-03-22B),1995,Banpresto
sailormo,sailormn,Pretty Soldier Sailor Moon (95-03-22),1995,Banpresto
agallet,,Air Gallet,1996,Banpresto / Gazelle
hotdogst,,Hotdog Storm,1996,Marble
ddonpach,,DoDonPachi (International),1997,Atlus/Cave
ddonpchj,ddonpach,DoDonPachi (Japan),1997,Atlus/Cave
ddonpacha,ddonpach,"DoDonPachi (Arrange Ver. 1.1) (trap15, hack)",2012,Other
dfeveron,,Dangun Feveron (Japan),1998,Cave (Nihon System license)
esprade,,ESP Ra.De. (International Ver 1998 4-22),1998,Atlus/Cave
espradej,esprade,ESP Ra.De. (Japan Ver 1998 4-21),1998,Atlus/Cave
espradeo,esprade,ESP Ra.De. (Japan Ver 1998 4-14),1998,Atlus/Cave
uopoko,,Uo Poko (Japan),1998,Cave (Jaleco license)
guwange,,Guwange (Japan),1999,Atlus/Cave
guwanges,guwange,Guwange (Japan Special Ver 2000 7-7),2000,Atlus/Cave
gaia,,Gaia Crusaders,1999,Noise Factory
theroes,,Thunder Heroes,2001,Primetek Investments
gyrodine,,Gyrodine,1984,Taito Corporation
sonofphx,,Son of Phoenix,1985,"Associated Overseas MFR, Inc"
repulse,sonofphx,Repulse,1985,Sega
99lstwar,sonofphx,'99: The Last War,1985,Proma
99lstwra,sonofphx,'99: The Last War (alternate),1985,Proma
flashgal,,Flashgal,1985,Sega
srdmissn,,S.R.D. Mission,1986,Taito Corporation
legend,,Legend,1986?,Sega / Coreland ?
airwolf,,Airwolf,1987,Kyugo
skywolf,airwolf,Sky Wolf (set 1),1987,bootleg
skywolf2,airwolf,Sky Wolf (set 2),1987,bootleg
defender,,Defender (Red label),1980,Williams
defendg,defender,Defender (Green label),1980,Williams
defendw,defender,Defender (White label),1980,Williams
defndjeu,defender,Defender [Q] (bootleg),1980,Jeutel
defcmnd,defender,Defense Command (set 1),1980,bootleg
defence,defender,Defence Command,1981,Outer Limits
mayday,,Mayday (set 1),1980,&lt;unknown&gt;
maydaya,mayday,Mayday (set 2),1980,&lt;unknown&gt;
maydayb,mayday,Mayday (set 3),1980,&lt;unknown&gt;
colony7,,Colony 7 (set 1),1981,Taito
colony7a,colony7,Colony 7 (set 2),1981,Taito
stargate,,Stargate,1981,Williams
robotron,,Robotron (Solid Blue label),1982,Williams
robotryo,robotron,Robotron (Yellow-Orange label),1982,Williams
joust,,Joust (White-Green label),1982,Williams
joustr,joust,Joust (Solid Red label),1982,Williams
joustwr,joust,Joust (White-Red label),1982,Williams
bubbles,,Bubbles,1982,Williams
bubblesr,bubbles,Bubbles (Solid Red label),1982,Williams
bubblesp,bubbles,Bubbles (prototype version),1982,Williams
splat,,Splat!,1982,Williams
sinistar,,Sinistar (revision 3),1982,Williams
sinista1,sinistar,Sinistar (prototype version),1982,Williams
sinista2,sinistar,Sinistar (revision 2),1982,Williams
playball,,PlayBall! (prototype),1983,Williams
blaster,,Blaster,1983,Williams
blastkit,blaster,Blaster (kit),1983,Williams
spdball,,Speed Ball (prototype),1985,Williams
alienar,,Alien Arena,1985,Duncan Brown
alienaru,,Alien Arena (Stargate upgrade),1985,Duncan Brown
mysticm,,Mystic Marathon,1983,Williams
tshoot,,Turkey Shoot,1984,Williams
inferno,,Inferno (Williams),1984,Williams
joust2,,Joust 2 - Survival of the Fittest (set 1),1986,Williams
lottofun,,Lotto Fun,1987,H.A.R. Management
vulgus,,Vulgus (set 1),1984,Capcom
vulgus2,vulgus,Vulgus (set 2),1984,Capcom
vulgusj,vulgus,Vulgus (Japan[Q]),1984,Capcom
sonson,,Son Son,1984,Capcom
sonsonj,sonson,Son Son (Japan),1984,Capcom
higemaru,,Pirate Ship Higemaru,1984,Capcom
1942,,1942 (set 1),1984,Capcom
1942a,1942,1942 (set 2),1984,Capcom
1942b,1942,1942 (set 3),1984,Capcom
exedexes,,Exed Exes,1985,Capcom
savgbees,exedexes,Savage Bees,1985,Capcom (Memetron license)
commando,,Commando (World),1985,Capcom
commandu,commando,Commando (US),1985,Capcom (Data East USA license)
commandj,commando,Senjou no Ookami,1985,Capcom
sinvasn,commando,Space Invasion (Europe),1985,Capcom
sinvasnb,commando,Space Invasion (bootleg),1985,bootleg
gng,,Ghosts'n Goblins (World[Q] set 1),1985,Capcom
gnga,gng,Ghosts'n Goblins (World[Q] set 2),1985,Capcom
gngt,gng,Ghosts'n Goblins (US),1985,Capcom (Taito America license)
makaimur,gng,Makai-Mura (Japan),1985,Capcom
makaimuc,gng,Makai-Mura (Japan Revision C),1985,Capcom
makaimug,gng,Makai-Mura (Japan Revision G),1985,Capcom
diamond,,Diamond Run,1989,KH Video
gunsmoke,,Gun.Smoke (World),1985,Capcom
gunsmoku,gunsmoke,Gun.Smoke (US set 1),1985,Capcom (Romstar license)
gunsmoka,gunsmoke,Gun.Smoke (US set 2),1986,Capcom (Romstar license)
gunsmokj,gunsmoke,Gun.Smoke (Japan),1985,Capcom
sectionz,,Section Z (set 1),1985,Capcom
sctionza,sectionz,Section Z (set 2),1985,Capcom
trojan,,Trojan (US),1986,Capcom
trojanr,trojan,Trojan (Romstar),1986,Capcom (Romstar license)
trojanj,trojan,Tatakai no Banka (Japan),1986,Capcom
srumbler,,The Speed Rumbler (set 1),1986,Capcom
srumblr2,srumbler,The Speed Rumbler (set 2),1986,Capcom
rushcrsh,srumbler,Rush and Crash (Japan),1986,Capcom
lwings,,Legendary Wings (US set 1),1986,Capcom
lwings2,lwings,Legendary Wings (US set 2),1986,Capcom
lwingsjp,lwings,Ares no Tsubasa (Japan),1986,Capcom
sidearms,,Side Arms - Hyper Dyne (World),1986,Capcom
sidearmr,sidearms,Side Arms - Hyper Dyne (US),1986,Capcom (Romstar license)
sidearjp,sidearms,Side Arms - Hyper Dyne (Japan),1986,Capcom
turtship,,Turtle Ship,1988,Philko
dyger,,Dyger (Korea set 1),1989,Philko
dygera,dyger,Dyger (Korea set 2),1989,Philko
whizz,,Whizz,1989,Philko
avengers,,Avengers (US set 1),1987,Capcom
avenger2,avengers,Avengers (US set 2),1987,Capcom
buraiken,avengers,Hissatsu Buraiken (Japan),1987,Capcom
bionicc,,Bionic Commando (US set 1),1987,Capcom
bionicc2,bionicc,Bionic Commando (US set 2),1987,Capcom
topsecrt,bionicc,Top Secret (Japan),1987,Capcom
1943,,1943 - The Battle of Midway (US),1987,Capcom
1943j,1943,1943 - The Battle of Midway (Japan),1987,Capcom
1943mii,,1943 - The Battle of Midway Mark II (US),1987,Capcom
blktiger,,Black Tiger,1987,Capcom
bktigerb,blktiger,Black Tiger (bootleg),1987,bootleg
blkdrgon,blktiger,Black Dragon,1987,Capcom
blkdrgnb,blktiger,Black Dragon (bootleg),1987,bootleg
sf1,,Street Fighter (World),1987,Capcom
sf1us,sf1,Street Fighter (US),1987,Capcom
sf1jp,sf1,Street Fighter (Japan),1987,Capcom
sf1p,sf1,Street Fighter (prototype),1987,Capcom
tigeroad,,Tiger Road (US),1987,Capcom (Romstar license)
toramich,tigeroad,Tora-he no Michi (Japan),1987,Capcom
f1dream,,F-1 Dream,1988,Capcom (Romstar license)
f1dreamb,f1dream,F-1 Dream (bootleg),1988,bootleg
1943kai,,1943 Kai - Midway Kaisen,1987,Capcom
lastduel,,Last Duel (US set 1),1988,Capcom
lstduela,lastduel,Last Duel (US set 2),1988,Capcom
lstduelb,lastduel,Last Duel (bootleg),1988,bootleg
madgear,,Mad Gear (US),1989,Capcom
madgearj,madgear,Mad Gear (Japan),1989,Capcom
ledstorm,madgear,Led Storm (US),1988,Capcom
leds2011,,Led Storm Rally 2011 (World),1988,Capcom
forgottn,,Forgotten Worlds (US),1988,Capcom
lostwrld,forgottn,Lost Worlds (Japan),1988,Capcom
ghouls,,Ghouls'n Ghosts (World),1988,Capcom
ghoulsu,ghouls,Ghouls'n Ghosts (US),1988,Capcom
daimakai,ghouls,Dai Makai-Mura (Japan),1988,Capcom
strider,,Strider (US set 1),1989,Capcom
stridrua,strider,Strider (US set 2),1989,Capcom
striderj,strider,Strider Hiryu (Japan set 1),1989,Capcom
stridrja,strider,Strider Hiryu (Japan set 2),1989,Capcom
dw,,Dynasty Wars (World),1989,Capcom
dwj,dw,Tenchi wo Kurau (Japan),1989,Capcom
willow,,Willow (US),1989,Capcom
willowj,willow,"Willow (Japan, Japanese)",1989,Capcom
willowje,willow,"Willow (Japan, English)",1989,Capcom
unsquad,,U.N. Squadron (US),1989,Capcom
area88,unsquad,Area 88 (Japan),1989,Capcom
ffight,,Final Fight (World),1989,Capcom
ffightu,ffight,Final Fight (US 900112),1989,Capcom
ffightj,ffight,Final Fight (Japan set 1),1989,Capcom
ffightj1,ffight,Final Fight (Japan set 2),1989,Capcom
ffightae,ffight,Final Fight 30th Anniversary Edition,1989,bootleg
1941,,1941 - Counter Attack (World),1990,Capcom
1941j,1941,1941 - Counter Attack (Japan),1990,Capcom
mercs,,Mercs (World 900302),1990,Capcom
mercsu,mercs,Mercs (US 900302),1990,Capcom
mercsua,mercs,Mercs (US 900608),1990,Capcom
mercsj,mercs,Senjou no Ookami II (Japan 900302),1990,Capcom
mtwins,,Mega Twins (World 900619),1990,Capcom
chikij,mtwins,Chiki Chiki Boys (Japan 900619),1990,Capcom
msword,,Magic Sword - Heroic Fantasy (World 900725),1990,Capcom
mswordr1,msword,Magic Sword - Heroic Fantasy (World 900623),1990,Capcom
mswordu,msword,Magic Sword - Heroic Fantasy (US 900725),1990,Capcom
