name,cloneof,description,year,manufacturer
acrobatm,,Acrobat Mission,1991,UPL (Taito license)
dogfgtu,dogfgt,Acrobatic Dog-Fight (USA),1985,"Technos Japan (Data East USA, Inc. license)"
dogfgt,,Acrobatic Dog-Fight,1984,Technos Japan
actfancrj,actfancr,Act-Fancer Cybernetick Hyper Weapon (Japan revision 1),1989,Data East Corporation
actfancr1,actfancr,Act-Fancer Cybernetick Hyper Weapon (World revision 1),1989,Data East Corporation
actfancr2,actfancr,Act-Fancer Cybernetick Hyper Weapon (World revision 2),1989,Data East Corporation
actfancr,,Act-Fancer Cybernetick Hyper Weapon (World revision 3),1989,Data East Corporation
afighterc,afighter,Action Fighter (FD1089B 317-unknown),1986,Sega
afighterd,afighter,"Action Fighter (FD1089B 317-unknown, analog controls)",1986,Sega
afighterh,afighter,"Action Fighter (System 16B, FD1089A 317-0018)",1991,Sega
afighterg,afighter,"Action Fighter (System 16B, FD1089B 317-unknown)",1991,Sega
afighterf,afighter,"Action Fighter (System 16B, FD1089B 317-unknown, analog controls)",1991,Sega
afightere,afighter,"Action Fighter (System 16B, unprotected, analog controls)",1991,Sega
afightera,afighter,Action Fighter (unprotected),1986,Sega
afighterb,afighter,"Action Fighter (unprotected, analog controls)",1986,Sega
afighter,,"Action Fighter, FD1089A 317-0018",1986,Sega
actionhw,,Action Hollywood,1995,TCH
hatena,,Adventure Quiz 2 - Hatena? no Daibouken (Japan 900228),1990,Capcom
cworld2j,,Adventure Quiz Capcom World 2 (920611 Japan),1992,Capcom
cworld2ja,cworld2j,"Adventure Quiz Capcom World 2 (Japan 920611, B-Board 90629B-3, no battery)",1992,Capcom
cworld2jb,cworld2j,"Adventure Quiz Capcom World 2 (Japan 920611, B-Board 91634B-2)",1992,Capcom
aerofgtb,aerofgt,Aero Fighters (Turbo Force hardware set 1),1992,Video System Co.
aerofgtc,aerofgt,Aero Fighters (Turbo Force hardware set 2),1992,Video System Co.
sonicwi2,,Aero Fighters 2 / Sonic Wings 2,1994,Video System Co.
sonicwi3,,Aero Fighters 3 / Sonic Wings 3,1995,Video System Co.
aerofgt,,Aero Fighters,1992,Video System Co.
aeroboto,formatz,Aeroboto,1984,Jaleco (Williams license)
aerolitos,asteroid,Aerolitos (Spanish bootleg of Asteroids),1980,bootleg (Rodmar Elec.)
aburner2g,aburner2,After Burner II (German),1987,Sega
aburner2,,After Burner II,1987,Sega
aburner,aburner2,After Burner,1987,Sega
aoh,,Age Of Heroes - Silkroad 2 (v0.63 - 2001/02/07),2001,Unico
superbon,,Agent Super Bond (scobra hardware),1985,Signaton USA
agentx1,cloak,"Agent X (prototype, rev 1)",1983,Atari
agentx2,cloak,"Agent X (prototype, rev 2)",1983,Atari
agentx3,cloak,"Agent X (prototype, rev 3)",1983,Atari
agentx4,cloak,"Agent X (prototype, rev 4)",1983,Atari
aodk,,Aggressors of Dark Kombat / Tsuukai GANGAN Koushinkyoku (ADM-008)(ADH-008),1994,ADK / SNK
agressb,agress,Agress (English bootleg),2003,Palco
agress,,Agress,1991,Palco
koshien,,Ah Eikou no Koshien (Japan),1990,Taito Corporation
airass,,Air Assault (World),1993,Irem
airattck,,Air Attack (set 1),1996,Comad
airattcka,airattck,Air Attack (set 2),1996,Comad
airbustrb,airbustr,Air Buster: Trouble Specialty Raid Unit (bootleg),1990,bootleg
airbustrj,airbustr,Air Buster: Trouble Specialty Raid Unit (Japan),1990,Kaneko (Namco license)
airbustr,,Air Buster: Trouble Specialty Raid Unit (World),1990,Kaneko (Namco license)
airdueljm72,airduel,"Air Duel (Japan, M72 hardware)",1990,Irem
airduelu,airduel,"Air Duel (US location test, M82 hardware)",1990,Irem
airduelm72,airduel,"Air Duel (World, M72 hardware)",1990,Irem
airduel,,"Air Duel (World, M82 hardware)",1990,Irem
agallet,,Air Gallet (Europe),1996,BanPresto / Gazelle
agalleth,agallet,Air Gallet (Hong Kong),1996,BanPresto / Gazelle
agalletk,agallet,Air Gallet (Korea),1996,BanPresto / Gazelle
agalleta,agallet,"Air Gallet (older, Europe)",1996,BanPresto / Gazelle
agalletah,agallet,"Air Gallet (older, Hong Kong)",1996,BanPresto / Gazelle
agalletak,agallet,"Air Gallet (older, Korea)",1996,BanPresto / Gazelle
agalletat,agallet,"Air Gallet (older, Taiwan)",1996,BanPresto / Gazelle
agalletau,agallet,"Air Gallet (older, USA)",1996,BanPresto / Gazelle
agallett,agallet,Air Gallet (Taiwan),1996,BanPresto / Gazelle
agalletu,agallet,Air Gallet (USA),1996,BanPresto / Gazelle
arescuej,arescue,Air Rescue (Japan),1992,Sega
arescueu,arescue,Air Rescue (US),1992,Sega
arescue,,Air Rescue (World),1992,Sega
airwolfa,airwolf,Airwolf (US),1987,Kyugo (United Amusements license)
airwolf,,Airwolf,1987,Kyugo
ajaxj,ajax,Ajax (Japan),1987,Konami
ajax,,Ajax,1987,Konami
akatana,,Akai Katana (2010/ 8/13 MASTER VER.),2010,Cave
akkaarrh,,Akka Arrh (prototype),1982,Atari
akkanvdr,spcinv95,Akkanbeder (Ver 2.5J 1995/06/14),1995,Taito Corporation
akumajoun,hcastle,Akuma-Jou Dracula (Japan ver. N),1988,Konami
akumajou,hcastle,Akuma-Jou Dracula (Japan ver. P),1988,Konami
agalletj,agallet,Akuu Gallet (Japan),1996,BanPresto / Gazelle
agalletaj,agallet,"Akuu Gallet (older, Japan)",1996,BanPresto / Gazelle
alcon,,Alcon (US),1986,Toaplan / Taito America Corp.
alexkidd1,alexkidd,"Alex Kidd: The Lost Stars (set 1, FD1089A 317-unknown)",1986,Sega
alexkidd,,"Alex Kidd: The Lost Stars (set 2, unprotected)",1986,Sega
alibaba,,Ali Baba and 40 Thieves,1982,Sega
alienaru,alienar,Alien Arena (Stargate upgrade),1985,Duncan Brown
alienar,,Alien Arena,1985,Duncan Brown
aa,,Alien Armada,2003,David Widel
alienchac,aliencha,Alien Challenge (China),1994,IGS
aliencha,,Alien Challenge (World),1994,IGS
alinvade,,Alien Invaders,198?,Forbes?
alienres,,"Alien Rescue (Homebrew, Test Build July 2019)",2019,MonstersGoBoom
aliensec,,Alien Sector,1985,Namco
astormjd,astorm,"Alien Storm (set 1, Japan Rev B, 2 Players, FD1094 317-0146 decrypted)",1990,Sega
astormj,astorm,"Alien Storm (set 1, Japan Rev B, 2 Players, FD1094 317-0146)",1990,Sega
astormud,astorm,"Alien Storm (set 2, US, 3 Players, FD1094 317-0147 decrypted)",1990,Sega
astormu,astorm,"Alien Storm (set 2, US, 3 Players, FD1094 317-0147)",1990,Sega
astorm3d,astorm,"Alien Storm (set 3, World, 3 Players, FD1094 317-0148 decrypted)",1990,Sega
astorm3,astorm,"Alien Storm (set 3, World, 3 Players, FD1094 317-0148)",1990,Sega
astorm,,"Alien Storm (set 4, World, 2 Players, FD1094 317-0154)",1990,Sega
aliensynjo,aliensyn,"Alien Syndrome (set 1, Japan, old, System 16A, FD1089A 317-0033)",1987,Sega
aliensyn2,aliensyn,"Alien Syndrome (set 2, System 16A, FD1089A 317-0033)",1987,Sega
aliensyn3,aliensyn,"Alien Syndrome (set 3, System 16B, FD1089A 317-0033)",1987,Sega
aliensyn,,"Alien Syndrome (set 4, System 16B, unprotected)",1987,Sega
aliensyn5,aliensyn,"Alien Syndrome (set 5, System 16A, FD1089B 317-0037)",1987,Sega
aliensynj,aliensyn,"Alien Syndrome (set 6, Japan, new, System 16B, FD1089A 317-0033)",1987,Sega
aliensyn7,aliensyn,"Alien Syndrome (set 7, System 16B, MC-8123B 317-00xx)",1987,Sega
avspa,avsp,Alien vs Predator (940520 Asia),1994,Capcom
avspd,avsp,Alien vs Predator (940520 Euro Phoenix Edition),1994,bootleg
avsp,,Alien vs Predator (940520 Euro),1994,Capcom
avsph,avsp,Alien vs Predator (940520 Hispanic),1994,Capcom
avspj,avsp,Alien vs Predator (940520 Japan),1994,Capcom
avspu,avsp,Alien vs Predator (940520 USA),1994,Capcom
alien3j,alien3,Alien3: The Gun (Japan),1993,Sega
alien3u,alien3,"Alien3: The Gun (US, Rev A)",1993,Sega
alien3,,Alien3: The Gun (World),1993,Sega
aliensa,aliens,Aliens (Asia),1990,Konami
aliensj,aliens,Aliens (Japan set 1),1990,Konami
aliensj2,aliens,Aliens (Japan set 2),1990,Konami
aliensu,aliens,Aliens (US set 1),1990,Konami
aliensu2,aliens,Aliens (US set 2),1990,Konami
aliens,,Aliens (World set 1),1990,Konami
aliens2,aliens,Aliens (World set 2),1990,Konami
aliens3,aliens,Aliens (World set 3),1990,Konami
aliens4,aliens,Aliens (World set 4),1990,Konami
aligators,aligator,"Alligator Hunt (Spain, protected)",1994,Gaelco
aligatorun,aligator,"Alligator Hunt (unprotected, set 1)",1994,Gaelco
aligatoruna,aligator,"Alligator Hunt (unprotected, set 2)",1994,Gaelco
aligator,,"Alligator Hunt (World, protected)",1994,Gaelco
alpham2,,Alpha Mission II / ASO II - Last Guardian (NGM-007)(NGH-007),1991,SNK
alpham2p,alpham2,Alpha Mission II / ASO II - Last Guardian (prototype),1991,SNK
alphamis,aso,Alpha Mission,1985,SNK
alphaone,mhavoc,"Alpha One (prototype, 3 lives)",1983,Atari
alphaonea,mhavoc,"Alpha One (prototype, 5 lives)",1983,Atari
alpha1v,,Alpha One (Vision Electronics),1988,Vision Electronics
alpine,,Alpine Ski (set 1),1982,Taito Corporation
alpinea,alpine,Alpine Ski (set 2),1982,Taito Corporation
altbeast2,altbeast,"Altered Beast (set 2, MC-8123B 317-0066)",1988,Sega
altbeast4,altbeast,"Altered Beast (set 4, MC-8123B 317-0066)",1988,Sega
altbeast5d,altbeast,"Altered Beast (set 5, FD1094 317-0069 decrypted)",1988,Sega
altbeast5,altbeast,"Altered Beast (set 5, FD1094 317-0069)",1988,Sega
altbeast6,altbeast,"Altered Beast (set 6, 8751 317-0076)",1988,Sega
altbeast,,"Altered Beast (set 8, 8751 317-0078)",1988,Sega
ambushh,ambush,Ambush (hack?),1983,Tecfri
ambushj,ambush,Ambush (Japan),1983,Nippon Amuse Co-Ltd
ambushv,ambush,Ambush (Volt Elec co-ltd),1983,Volt Elec co-ltd
ambush,,Ambush,1983,Tecfri
anteaterg,anteater,Ameisenbaer (German),1983,TV-Tuning (F.E.G. license)
horshoes,,American Horseshoes (US),1990,Taito America Corporation
amspdwy,,American Speedway (set 1),1987,Enerdyne Technologies Inc.
amspdwya,amspdwy,American Speedway (set 2),1987,Enerdyne Technologies Inc.
amidarb,amidar,Amidar (bootleg),1982,bootleg
amidar1,amidar,Amidar (older),1981,Konami
amidaro,amidar,Amidar (Olympia),1982,Konami (Olympia license)
amidars,amidar,Amidar (Scramble hardware),1982,Konami
amidaru,amidar,Amidar (Stern),1982,Konami (Stern license)
amidar,,Amidar,1981,Konami
amigo,amidar,Amigo,1982,bootleg
androdun,,Andro Dunos (NGM-049)(NGH-049),1992,Visco
androidpo,androidp,"Android (prototype, early build)",198?,Nasco
androidp,,"Android (prototype, later build)",198?,Nasco
angelkds,,Angel Kids (Japan),1988,Sega / Nasco?
cadanglr,,Angler Dangler (DECO Cassette) (US),1982,Data East Corporation
anteater,,Anteater,1982,Stern (Tago license)
aponow,rescue,Apocaljpse Now,1982,bootleg
appoooh,,Appoooh,1984,Sanritsu / Sega
aquajackj,aquajack,Aquajack (Japan),1990,Taito Corporation
aquajacku,aquajack,Aquajack (US),1990,Taito Corporation
aquajack,,Aquajack (World),1990,Taito Corporation Japan
aquariumj,aquarium,Aquarium (Japan),1996,Excellent System
aquarium,,Aquarium (US),1996,Excellent System
arabiana,arabian,Arabian (Atari),1983,[Sun Electronics] (Atari license)
arabfgtj,arabfgt,Arabian Fight (Japan),1991,Sega
arabfgtu,arabfgt,Arabian Fight (US),1991,Sega
arabfgt,,Arabian Fight (World),1991,Sega
arabianmu,arabianm,Arabian Magic (Ver 1.0A 1992/07/06),1992,Taito America Corporation
arabianmj,arabianm,Arabian Magic (Ver 1.0J 1992/07/06),1992,Taito Corporation
arabianm,,Arabian Magic (Ver 1.0O 1992/07/06),1992,Taito Corporation Japan
arabian,,Arabian,1983,Sun Electronics
aracnis,scorpion,Aracnis (bootleg of Scorpion on Moon Cresta hardware),19??,bootleg
arbalest,,Arbalester,1989,Seta
arcadecl,,Arcade Classics (prototype),1992,Atari Games
arcadian,,Arcadia (NMK),1994,NMK
area88r,unsquad,Area 88 (Japan Resale ver.),1989,Daipro / Capcom
area88,unsquad,Area 88 (Japan),1989,Daipro / Capcom
lwingsj,lwings,Ares no Tsubasa (Japan),1986,Capcom
lwingsja,lwings,"Ares no Tsubasa (Japan, rev. A)",1986,Capcom
argusg,,"Argus (Gottlieb, prototype)",1984,Gottlieb
rygarj,rygar,Argus no Senshi (Japan),1986,Tecmo
argus,,Argus,1986,NMK (Jaleco license)
arian,aso,Arian Mission,1985,SNK
arkarea,,Ark Area,1988,UPL
arkgcbl,arkanoid,Arkanoid (bootleg on Block hardware),1986,bootleg
arkanoidjbl,arkanoid,Arkanoid (bootleg with MCU set 1),1986,bootleg
arkanoidjbl2,arkanoid,Arkanoid (bootleg with MCU set 2),1986,bootleg (Beta)
arkanoidjbla,arkanoid,"Arkanoid (bootleg with MCU, alt)",1986,bootleg
ark1ball,arkanoid,"Arkanoid (bootleg with MCU, harder)",1986,bootleg
ark1balla,arkanoid,"Arkanoid (bootleg with MCU, harder, alt)",1986,bootleg
arkangc,arkanoid,"Arkanoid (Game Corporation bootleg, set 1)",1986,bootleg
arkangc2,arkanoid,"Arkanoid (Game Corporation bootleg, set 2)",1986,bootleg
arkanoidj,arkanoid,Arkanoid (Japan),1986,Taito Corporation
arkanoidja,arkanoid,"Arkanoid (Japan, older rev)",1986,Taito Corporation
arkanoidjb,arkanoid,"Arkanoid (Japan, oldest rev)",1986,Taito Corporation
arkatayt,arkanoid,Arkanoid (Tayto bootleg),1986,bootleg
arktayt2,arkanoid,"Arkanoid (Tayto bootleg, harder)",1986,bootleg
arkanoidu,arkanoid,Arkanoid (US),1986,Taito America Corporation (Romstar license)
arkanoiduo,arkanoid,"Arkanoid (US, oldest rev)",1986,Taito America Corporation (Romstar license)
arkanoid,,"Arkanoid (World, oldest rev)",1986,Taito Corporation Japan
arknoid2b,arknoid2,Arkanoid - Revenge of DOH (Japan bootleg),1987,bootleg
arknoid2j,arknoid2,Arkanoid - Revenge of DOH (Japan),1987,Taito Corporation
arknoid2u,arknoid2,Arkanoid - Revenge of DOH (US),1987,Taito America Corporation (Romstar license)
arknoid2,,Arkanoid - Revenge of DOH (World),1987,Taito Corporation Japan
arkretrnu,arkretrn,Arkanoid Returns (Ver 2.02A 1997/02/10),1997,Taito Corporation
arkretrnj,arkretrn,Arkanoid Returns (Ver 2.02J 1997/02/10),1997,Taito Corporation
arkretrn,,Arkanoid Returns (Ver 2.02O 1997/02/10),1997,Taito Corporation
armchmp2o,armchmp2,Arm Champs II v1.7,1992,Jaleco
armchmp2o2,armchmp2,Arm Champs II v2.6,1992,Jaleco
armchmp2,,Arm Champs II v2.7,1992,Jaleco
armwrest,,Arm Wrestling,1985,Nintendo
armedff,armedf,Armed Formation (Fillmore license),1988,Nichibutsu (Fillmore license)
armedf,,Armed Formation,1988,Nichibutsu
batriderc,batrider,Armed Police Batrider (China) (Fri Feb 13 1998),1998,Raizing / 8ing
batrider,,Armed Police Batrider (Europe) (Fri Feb 13 1998),1998,Raizing / 8ing
batriderk,batrider,Armed Police Batrider (Korea) (Fri Feb 13 1998),1998,Raizing / 8ing
batrideru,batrider,Armed Police Batrider (U.S.A.) (Fri Feb 13 1998),1998,Raizing / 8ing
batriderhk,batrider,Armed Police Batrider - A Version (Hong Kong) (Mon Dec 22 1997),1998,Raizing / 8ing
batriderja,batrider,Armed Police Batrider - A Version (Japan) (Mon Dec 22 1997),1998,Raizing / 8ing
batridert,batrider,Armed Police Batrider - A Version (Taiwan) (Mon Dec 22 1997),1998,Raizing / 8ing
batriderj,batrider,Armed Police Batrider - B Version (Japan) (Fri Feb 13 1998),1998,Raizing / 8ing
armorcar,,Armored Car (set 1),1981,Stern
armorcar2,armorcar,Armored Car (set 2),1981,Stern
armwarar1,armwar,Armored Warriors (940920 Asia),1994,Capcom
armwaru1,armwar,Armored Warriors (940920 USA),1994,Capcom
armwar1d,armwar,Armored Warriors (941011 Europe Phoenix Edition),1994,bootleg
armwarr1,armwar,Armored Warriors (941011 Europe),1994,Capcom
armwara,armwar,Armored Warriors (941024 Asia),1994,Capcom
armwarb,armwar,Armored Warriors (941024 Brazil),1994,Capcom
armwar,,Armored Warriors (941024 Europe),1994,Capcom
armwaru,armwar,Armored Warriors (941024 USA),1994,Capcom
aof,,Art of Fighting / Ryuuko no Ken (NGM-044)(NGH-044),1992,SNK
aof2bh,aof2,Art of Fighting 2 / Ryuuko no Ken 2 (Enable hidden characters V2),1994,Yumeji
aof2a,aof2,Art of Fighting 2 / Ryuuko no Ken 2 (NGH-056),1994,SNK
aof2,,Art of Fighting 2 / Ryuuko no Ken 2 (NGM-056),1994,SNK
aof3k,aof3,Art of Fighting 3 - The Path of the Warrior (Korean release),1996,SNK
aof3bh,aof3,Art of Fighting 3 - The Path of the Warrior / Art of Fighting - Ryuuko no Ken Gaiden (Enable Hidden Characters V2),1996,Yumeji
aof3,,Art of Fighting 3 - The Path of the Warrior / Art of Fighting - Ryuuko no Ken Gaiden,1996,SNK
ashnojoe,scessjoe,Ashita no Joe (Japan),1990,Taito Corporation / Wave
ashuraj,ashura,Ashura Blaster (Japan),1990,Taito Corporation
ashurau,ashura,Ashura Blaster (US),1990,Taito America Corporation
ashura,,Ashura Blaster (World),1990,Taito Corporation Japan
aso,,ASO - Armored Scrum Object,1985,SNK
assaultj,assault,Assault (Japan),1988,Namco
assault,,Assault (Rev B),1988,Namco
assaultp,assault,Assault Plus (Japan),1988,Namco
asterixaad,asterix,Asterix (ver AAD),1992,Konami
asterixeaa,asterix,Asterix (ver EAA),1992,Konami
asterixeac,asterix,Asterix (ver EAC),1992,Konami
asterix,,Asterix (ver EAD),1992,Konami
asterixj,asterix,Asterix (ver JAD),1992,Konami
asterock,asteroid,Asterock (Sidam bootleg of Asteroids),1979,bootleg (Sidam)
asterockv,asteroid,Asterock (Videotron bootleg of Asteroids),1979,bootleg (Videotron)
asteroidb1,asteroid,"Asteroids (bootleg on Lunar Lander hardware, set 1)",1979,bootleg
asteroidb2,asteroid,"Asteroids (bootleg on Lunar Lander hardware, set 2)",1979,bootleg
asteroid1,asteroid,Asteroids (rev 1),1979,Atari
asteroid2,asteroid,Asteroids (rev 2),1979,Atari
asteroid,,Asteroids (rev 4),1979,Atari
astdelux1,astdelux,Asteroids Deluxe (rev 1),1980,Atari
astdelux2,astdelux,Asteroids Deluxe (rev 2),1980,Atari
astdelux,,Asteroids Deluxe (rev 3),1980,Atari
astrians,galaxian,Astrians (clone of Swarm),1979,BGV Ltd
castfant,,Astro Fantasia (DECO Cassette) (US),1981,Data East Corporation
astrofl,transfrm,Astro Flash (Japan),1986,Sega
asukaja,asuka,Asuka &amp; Asuka (Japan),1988,Taito Corporation
asukaj,asuka,"Asuka &amp; Asuka (Japan, version 1)",1988,Taito Corporation
asuka,,Asuka &amp; Asuka (World),1988,Taito Corporation
asurabld,,Asura Blade - Sword of Dynasty (Japan),1998,Fuuki
asurabusjr,asurabus,Asura Buster - Eternal Warriors (Japan) (ARCADIA review build),2000,Fuuki
asurabusj,asurabus,"Asura Buster - Eternal Warriors (Japan, set 1)",2000,Fuuki
asurabusja,asurabus,"Asura Buster - Eternal Warriors (Japan, set 2)",2000,Fuuki
asurabus,,Asura Buster - Eternal Warriors (USA),2000,Fuuki
ataqandr,mooncrst,Ataque Androide - Moon Cresta (FAR S.A. Spanish bootleg),1980?,bootleg (FAR S.A.)
asideral,uniwars,Ataque Sideral (Spanish bootleg of UniWar S),1980,bootleg (Electrogame S.A.)
athenab,athena,Athena (bootleg),1986,SNK
atehate,,Athena no Hatena ?,1993,Athena
athena,,Athena,1986,SNK
atlantol,trackfld,Atlant Olimpic,1996,bootleg
acitya,bwcasino,Atlantic City Action,1983,EPOS Corporation
atombjt,bjtwin,Atom (bootleg of Bombjack Twin),1993,bootleg (Kyon K.)
atomboya,wilytowr,Atomic Boy (revision A),1985,Irem (Memetron license)
atomboy,wilytowr,Atomic Boy (revision B),1985,Irem (Memetron license)
atomicp,,Atomic Point (Korea),1990,Philco
atompunk,dynablst,Atomic Punk (US),1991,Irem America (licensed from Hudson Soft)
robokidj3,robokid,Atomic Robo-kid (Japan),1988,UPL
robokidj,robokid,"Atomic Robo-kid (Japan, Type-2, set 1)",1988,UPL
robokidj2,robokid,"Atomic Robo-kid (Japan, Type-2, set 2)",1988,UPL
robokid,,"Atomic Robo-kid (World, Type-2)",1988,UPL
attackf,defender,Attack (Defender bootleg),1980,bootleg (Famare SA)
aurailjd,aurail,"Aurail (set 1, Japan, FD1089A 317-0167 decrypted)",1990,Sega / Westone
aurailj,aurail,"Aurail (set 1, Japan, FD1089A 317-0167)",1990,Sega / Westone
aurail1d,aurail,"Aurail (set 2, World, FD1089B 317-0168 decrypted)",1990,Sega / Westone
aurail1,aurail,"Aurail (set 2, World, FD1089B 317-0168)",1990,Sega / Westone
aurail,,"Aurail (set 3, US, unprotected)",1990,Sega / Westone
avefenix,phoenix,"Ave Fenix (Electrogame, Spanish bootleg of Phoenix)",1980,bootleg (Video Game)
avefenixl,phoenix,"Ave Fenix (Laguna, Spanish bootleg of Phoenix)",1980,bootleg
avefenixrf,phoenix,"Ave Fenix (Recreativos Franco, Spanish bootleg of Phoenix)",1981,bootleg (Recreativos Franco S.A.)
